id,frage,erwartete_quellen,kernaussage,typ,herkunft
17,"Ich melde mich mit Google an, hatte früher aber ein Konto mit derselben Mail per Passwort. Jetzt sehe ich zwei unterschiedliche Habit-Listen. Wie führe ich die zusammen?",anmelden-mit-google.md; konten-zusammenfuehren.md,"Das sind zwei getrennte Konten; Zusammenführen nur über den Support (Einstellungen > Hilfe > Kontakt), dauert bis zu 5 Werktage, nicht umkehrbar",mehrquellen,entwurf
18,"Hab von monatlich auf jährlich gewechselt und wurde sofort voll belastet, obwohl der laufende Monat schon bezahlt war. Bitte prüfen.",tarif-wechseln.md; doppelte-abbuchung.md,"Normalerweise wird der Restmonat als Guthaben verrechnet (weniger als 59 USD); volle Belastung deutet auf das bekannte Doppelabbuchungs-Problem hin: 3–5 Werktage abwarten, dann Zahlungsproblem melden",mehrquellen,entwurf
19,"bin vor ner woche von monatlich auf jährlich umgestiegen, war doch ne blöde idee. kann ich zurück und krieg mein geld wieder?",tarif-wechseln.md; erstattungen.md,"Ja, innerhalb von 14 Tagen wird der tatsächlich gezahlte Betrag erstattet, Pro endet dann sofort (danach neu monatlich abschließen); ein normaler Wechsel zurück auf monatlich greift erst zum Laufzeitende",mehrquellen,entwurf
20,"Ich habe mein Abo im App Store gekündigt, aber in der App steht immer noch Pro aktiv bis 2027. Was gilt denn jetzt?",abo-kuendigen.md,"Normal: Pro läuft bis zum Ende des bezahlten Zeitraums weiter, danach Free; keine weitere Abbuchung",aehnlich,entwurf
21,hab ausversehen mein konto gelöscht. kann man das rückgängig machen? war 2 jahre drin,konto-loeschen.md,"Nein, die Löschung ist endgültig, auch der Support kann sie nicht rückgängig machen",aehnlich,entwurf
22,"will nicht mehr zahlen aber meine habits behalten, muss ich dafür mein konto löschen?",abo-kuendigen.md,"Nein, Abo kündigen reicht: Pro läuft bis Periodenende, danach Free, alle Daten bleiben erhalten; Konto löschen würde alles endgültig entfernen",aehnlich,entwurf
23,"hab pro übers iphone gekauft. wenn ich jetzt mein konto lösche, hören die abbuchungen dann auf?",konto-loeschen.md,"Nein, Store-Abos werden nicht automatisch beendet; vorher im App Store kündigen, sonst wird weiter abgebucht",aehnlich,entwurf
24,gibt es die app auch auf spanisch?,keine,"Dazu gibt es keine Information, Verweis an den Support",luecke,entwurf
25,"Hallo, ich benötige für die letzten 6 Monate Rechnungen mit meiner Firmenanschrift und USt-IdNr. Können Sie mir diese zusenden?",keine,"Dazu gibt es keine Information, Verweis an den Support",luecke,entwurf
26,"lohnt sich das jahresabo? wieviel spart man da gegenüber monatlich?",preise-und-tarife.md,"59 USD/Jahr statt 6,99 USD/Monat, rund 4,92 USD pro Monat, also ca. 30 % günstiger (nicht ""ein Drittel"" / 39,99 wie auf der alten Seite)",veraltet,entwurf
27,"hab aus versehen zwei konten und beide haben pro. kann man die zusammenlegen und krieg ich für eins das geld zurück?",konten-zusammenfuehren.md; erstattungen.md,"Zusammenführen geht nur, wenn höchstens ein Konto Pro hat: das andere kündigen und auslaufen lassen, keine automatische Erstattung; ein Jahresabo ist nur innerhalb von 14 Tagen erstattbar",mehrquellen,entwurf
