id,typ,herkunft,frage,modell,variante,rang,chunk_id,datei,score,erwartet
14,einfach,entwurf,"Fremder Login aus Vietnam in meinem Konto, ich hab eine mail von euch bekommen. Was soll ich jetzt tun?? da sind meine ganzen daten drin",e5-base,sections,1,konto-loeschen.md#4,konto-loeschen.md,0.8542,0
14,einfach,entwurf,"Fremder Login aus Vietnam in meinem Konto, ich hab eine mail von euch bekommen. Was soll ich jetzt tun?? da sind meine ganzen daten drin",e5-base,sections,2,passwort-zuruecksetzen.md#0,passwort-zuruecksetzen.md,0.8502,0
14,einfach,entwurf,"Fremder Login aus Vietnam in meinem Konto, ich hab eine mail von euch bekommen. Was soll ich jetzt tun?? da sind meine ganzen daten drin",e5-base,sections,3,verdaechtige-anmeldungen.md#1,verdaechtige-anmeldungen.md,0.8461,1
15,einfach,entwurf,"Frage zur Datenschutzerklärung: wo genau werden die Daten gespeichert, EU oder US?",e5-base,sections,1,datenschutz-und-speicherort.md#1,datenschutz-und-speicherort.md,0.8823,1
15,einfach,entwurf,"Frage zur Datenschutzerklärung: wo genau werden die Daten gespeichert, EU oder US?",e5-base,sections,2,datenschutz-und-speicherort.md#0,datenschutz-und-speicherort.md,0.8743,1
15,einfach,entwurf,"Frage zur Datenschutzerklärung: wo genau werden die Daten gespeichert, EU oder US?",e5-base,sections,3,datenschutz-und-speicherort.md#3,datenschutz-und-speicherort.md,0.8526,1
16,einfach,entwurf,gibts eigentlich ein widget für android oder nur fürs iphone?,e5-base,sections,1,widgets.md#3,widgets.md,0.866,1
16,einfach,entwurf,gibts eigentlich ein widget für android oder nur fürs iphone?,e5-base,sections,2,roadmap-faq.md#7,roadmap-faq.md,0.8551,0
16,einfach,entwurf,gibts eigentlich ein widget für android oder nur fürs iphone?,e5-base,sections,3,widgets.md#2,widgets.md,0.855,1
17,mehrquellen,entwurf,"Ich melde mich mit Google an, hatte früher aber ein Konto mit derselben Mail per Passwort. Jetzt sehe ich zwei unterschiedliche Habit-Listen. Wie führe ich die zusammen?",e5-base,sections,1,anmelden-mit-google.md#2,anmelden-mit-google.md,0.8706,1
17,mehrquellen,entwurf,"Ich melde mich mit Google an, hatte früher aber ein Konto mit derselben Mail per Passwort. Jetzt sehe ich zwei unterschiedliche Habit-Listen. Wie führe ich die zusammen?",e5-base,sections,2,habits-anlegen.md#1,habits-anlegen.md,0.8685,0
17,mehrquellen,entwurf,"Ich melde mich mit Google an, hatte früher aber ein Konto mit derselben Mail per Passwort. Jetzt sehe ich zwei unterschiedliche Habit-Listen. Wie führe ich die zusammen?",e5-base,sections,3,konten-zusammenfuehren.md#3,konten-zusammenfuehren.md,0.8653,1
18,einfach,entwurf,"Hab von monatlich auf jährlich gewechselt und wurde sofort voll belastet, obwohl der laufende Monat schon bezahlt war. Bitte prüfen.",e5-base,sections,1,doppelte-abbuchung.md#0,doppelte-abbuchung.md,0.8741,0
18,einfach,entwurf,"Hab von monatlich auf jährlich gewechselt und wurde sofort voll belastet, obwohl der laufende Monat schon bezahlt war. Bitte prüfen.",e5-base,sections,2,tarif-wechseln.md#1,tarif-wechseln.md,0.8736,1
18,einfach,entwurf,"Hab von monatlich auf jährlich gewechselt und wurde sofort voll belastet, obwohl der laufende Monat schon bezahlt war. Bitte prüfen.",e5-base,sections,3,tarif-wechseln.md#2,tarif-wechseln.md,0.8704,1
19,mehrquellen,entwurf,"bin vor ner woche von monatlich auf jährlich umgestiegen, war doch ne blöde idee. kann ich zurück und krieg mein geld wieder?",e5-base,sections,1,tarif-wechseln.md#2,tarif-wechseln.md,0.8698,1
19,mehrquellen,entwurf,"bin vor ner woche von monatlich auf jährlich umgestiegen, war doch ne blöde idee. kann ich zurück und krieg mein geld wieder?",e5-base,sections,2,tarif-wechseln.md#0,tarif-wechseln.md,0.8684,1
19,mehrquellen,entwurf,"bin vor ner woche von monatlich auf jährlich umgestiegen, war doch ne blöde idee. kann ich zurück und krieg mein geld wieder?",e5-base,sections,3,tarif-wechseln.md#1,tarif-wechseln.md,0.8583,1
20,aehnlich,entwurf,"Ich habe mein Abo im App Store gekündigt, aber in der App steht immer noch Pro aktiv bis 2027. Was gilt denn jetzt?",e5-base,sections,1,preise-und-tarife.md#3,preise-und-tarife.md,0.8794,0
20,aehnlich,entwurf,"Ich habe mein Abo im App Store gekündigt, aber in der App steht immer noch Pro aktiv bis 2027. Was gilt denn jetzt?",e5-base,sections,2,abo-kuendigen.md#2,abo-kuendigen.md,0.8783,1
20,aehnlich,entwurf,"Ich habe mein Abo im App Store gekündigt, aber in der App steht immer noch Pro aktiv bis 2027. Was gilt denn jetzt?",e5-base,sections,3,konten-zusammenfuehren.md#2,konten-zusammenfuehren.md,0.8762,0
21,aehnlich,entwurf,hab ausversehen mein konto gelöscht. kann man das rückgängig machen? war 2 jahre drin,e5-base,sections,1,passwort-zuruecksetzen.md#1,passwort-zuruecksetzen.md,0.8658,0
21,aehnlich,entwurf,hab ausversehen mein konto gelöscht. kann man das rückgängig machen? war 2 jahre drin,e5-base,sections,2,passwort-zuruecksetzen.md#0,passwort-zuruecksetzen.md,0.8608,0
21,aehnlich,entwurf,hab ausversehen mein konto gelöscht. kann man das rückgängig machen? war 2 jahre drin,e5-base,sections,3,datenschutz-und-speicherort.md#6,datenschutz-und-speicherort.md,0.8543,0
22,aehnlich,entwurf,"will nicht mehr zahlen aber meine habits behalten, muss ich dafür mein konto löschen?",e5-base,sections,1,konto-loeschen.md#1,konto-loeschen.md,0.8688,0
22,aehnlich,entwurf,"will nicht mehr zahlen aber meine habits behalten, muss ich dafür mein konto löschen?",e5-base,sections,2,konten-zusammenfuehren.md#2,konten-zusammenfuehren.md,0.8586,0
22,aehnlich,entwurf,"will nicht mehr zahlen aber meine habits behalten, muss ich dafür mein konto löschen?",e5-base,sections,3,konto-loeschen.md#2,konto-loeschen.md,0.8585,0
23,aehnlich,entwurf,"hab pro übers iphone gekauft. wenn ich jetzt mein konto lösche, hören die abbuchungen dann auf?",e5-base,sections,1,preise-und-tarife.md#3,preise-und-tarife.md,0.8743,0
23,aehnlich,entwurf,"hab pro übers iphone gekauft. wenn ich jetzt mein konto lösche, hören die abbuchungen dann auf?",e5-base,sections,2,konto-loeschen.md#1,konto-loeschen.md,0.874,1
23,aehnlich,entwurf,"hab pro übers iphone gekauft. wenn ich jetzt mein konto lösche, hören die abbuchungen dann auf?",e5-base,sections,3,pro-funktionen-und-preise.md#4,pro-funktionen-und-preise.md,0.8672,0
24,luecke,entwurf,gibt es die app auch auf spanisch?,e5-base,sections,1,widgets.md#4,widgets.md,0.8308,0
24,luecke,entwurf,gibt es die app auch auf spanisch?,e5-base,sections,2,roadmap-faq.md#7,roadmap-faq.md,0.8213,0
24,luecke,entwurf,gibt es die app auch auf spanisch?,e5-base,sections,3,synchronisierung.md#0,synchronisierung.md,0.8189,0
25,luecke,entwurf,"Hallo, ich benötige für die letzten 6 Monate Rechnungen mit meiner Firmenanschrift und USt-IdNr. Können Sie mir diese zusenden?",e5-base,sections,1,konten-zusammenfuehren.md#3,konten-zusammenfuehren.md,0.8397,0
25,luecke,entwurf,"Hallo, ich benötige für die letzten 6 Monate Rechnungen mit meiner Firmenanschrift und USt-IdNr. Können Sie mir diese zusenden?",e5-base,sections,2,konto-loeschen.md#4,konto-loeschen.md,0.8361,0
25,luecke,entwurf,"Hallo, ich benötige für die letzten 6 Monate Rechnungen mit meiner Firmenanschrift und USt-IdNr. Können Sie mir diese zusenden?",e5-base,sections,3,passwort-zuruecksetzen.md#0,passwort-zuruecksetzen.md,0.8329,0
26,veraltet,entwurf,lohnt sich das jahresabo? wieviel spart man da gegenüber monatlich?,e5-base,sections,1,erstattungen.md#2,erstattungen.md,0.8616,0
26,veraltet,entwurf,lohnt sich das jahresabo? wieviel spart man da gegenüber monatlich?,e5-base,sections,2,tarif-wechseln.md#1,tarif-wechseln.md,0.858,0
26,veraltet,entwurf,lohnt sich das jahresabo? wieviel spart man da gegenüber monatlich?,e5-base,sections,3,tarif-wechseln.md#0,tarif-wechseln.md,0.854,0
27,mehrquellen,entwurf,hab aus versehen zwei konten und beide haben pro. kann man die zusammenlegen und krieg ich für eins das geld zurück?,e5-base,sections,1,konten-zusammenfuehren.md#2,konten-zusammenfuehren.md,0.8501,1
27,mehrquellen,entwurf,hab aus versehen zwei konten und beide haben pro. kann man die zusammenlegen und krieg ich für eins das geld zurück?,e5-base,sections,2,konten-zusammenfuehren.md#3,konten-zusammenfuehren.md,0.8465,1
27,mehrquellen,entwurf,hab aus versehen zwei konten und beide haben pro. kann man die zusammenlegen und krieg ich für eins das geld zurück?,e5-base,sections,3,passwort-zuruecksetzen.md#0,passwort-zuruecksetzen.md,0.8395,0
1,einfach,mensch,"hab die passwort mail bekommen aber erst abends reingeschaut, link geht nicht mehr. wie lange ist der eigentlich gültig?",e5-base,articles,1,passwort-zuruecksetzen.md,passwort-zuruecksetzen.md,0.8582,1
1,einfach,mensch,"hab die passwort mail bekommen aber erst abends reingeschaut, link geht nicht mehr. wie lange ist der eigentlich gültig?",e5-base,articles,2,verdaechtige-anmeldungen.md,verdaechtige-anmeldungen.md,0.8395,0
1,einfach,mensch,"hab die passwort mail bekommen aber erst abends reingeschaut, link geht nicht mehr. wie lange ist der eigentlich gültig?",e5-base,articles,3,konten-zusammenfuehren.md,konten-zusammenfuehren.md,0.8326,0
2,veraltet,mensch,"auf eurer seite steht pro kostet 4,99 im monat und man kann 7 tage kostenlos testen. stimmt das so?",e5-base,articles,1,pro-funktionen-und-preise.md,pro-funktionen-und-preise.md,0.8607,0
2,veraltet,mensch,"auf eurer seite steht pro kostet 4,99 im monat und man kann 7 tage kostenlos testen. stimmt das so?",e5-base,articles,2,preise-und-tarife.md,preise-und-tarife.md,0.8532,1
2,veraltet,mensch,"auf eurer seite steht pro kostet 4,99 im monat und man kann 7 tage kostenlos testen. stimmt das so?",e5-base,articles,3,streaks.md,streaks.md,0.8385,0
3,veraltet,mensch,Gibt es eine Testphase für Pro,e5-base,articles,1,pro-funktionen-und-preise.md,pro-funktionen-und-preise.md,0.8487,0
3,veraltet,mensch,Gibt es eine Testphase für Pro,e5-base,articles,2,preise-und-tarife.md,preise-und-tarife.md,0.8371,1
3,veraltet,mensch,Gibt es eine Testphase für Pro,e5-base,articles,3,abo-kuendigen.md,abo-kuendigen.md,0.8078,0
4,einfach,mensch,Kann ich mich mit Apple Login einloggen bzw einen Account erstellen,e5-base,articles,1,passwort-zuruecksetzen.md,passwort-zuruecksetzen.md,0.8391,0
4,einfach,mensch,Kann ich mich mit Apple Login einloggen bzw einen Account erstellen,e5-base,articles,2,anmelden-mit-google.md,anmelden-mit-google.md,0.8368,1
4,einfach,mensch,Kann ich mich mit Apple Login einloggen bzw einen Account erstellen,e5-base,articles,3,roadmap-faq.md,roadmap-faq.md,0.8333,0
5,einfach,mensch_korrigiert,Wieviele Habits kann ich in der Pro Version tracken,e5-base,articles,1,habits-anlegen.md,habits-anlegen.md,0.85,1
5,einfach,mensch_korrigiert,Wieviele Habits kann ich in der Pro Version tracken,e5-base,articles,2,preise-und-tarife.md,preise-und-tarife.md,0.8403,1
5,einfach,mensch_korrigiert,Wieviele Habits kann ich in der Pro Version tracken,e5-base,articles,3,pro-funktionen-und-preise.md,pro-funktionen-und-preise.md,0.8348,0
6,einfach,mensch,"Der Fokustimer lässt sich nicht verstellen, ich nutze die Free version",e5-base,articles,1,preise-und-tarife.md,preise-und-tarife.md,0.8708,0
6,einfach,mensch,"Der Fokustimer lässt sich nicht verstellen, ich nutze die Free version",e5-base,articles,2,fokus-timer.md,fokus-timer.md,0.8655,1
6,einfach,mensch,"Der Fokustimer lässt sich nicht verstellen, ich nutze die Free version",e5-base,articles,3,habits-anlegen.md,habits-anlegen.md,0.8551,0
7,luecke,mensch_korrigiert,Gibt es Mengenrabatte,e5-base,articles,1,tarif-wechseln.md,tarif-wechseln.md,0.7925,0
7,luecke,mensch_korrigiert,Gibt es Mengenrabatte,e5-base,articles,2,bekannte-probleme.md,bekannte-probleme.md,0.791,0
7,luecke,mensch_korrigiert,Gibt es Mengenrabatte,e5-base,articles,3,preise-und-tarife.md,preise-und-tarife.md,0.7895,0
8,luecke,mensch_korrigiert,Kann ich Daten aus anderen Apps importieren,e5-base,articles,1,roadmap-faq.md,roadmap-faq.md,0.8218,0
8,luecke,mensch_korrigiert,Kann ich Daten aus anderen Apps importieren,e5-base,articles,2,datenschutz-und-speicherort.md,datenschutz-und-speicherort.md,0.821,0
8,luecke,mensch_korrigiert,Kann ich Daten aus anderen Apps importieren,e5-base,articles,3,synchronisierung.md,synchronisierung.md,0.8183,0
9,einfach,mensch_korrigiert,Wie kann ich 2FA einrichten,e5-base,articles,1,konten-zusammenfuehren.md,konten-zusammenfuehren.md,0.8374,0
9,einfach,mensch_korrigiert,Wie kann ich 2FA einrichten,e5-base,articles,2,verdaechtige-anmeldungen.md,verdaechtige-anmeldungen.md,0.8341,1
9,einfach,mensch_korrigiert,Wie kann ich 2FA einrichten,e5-base,articles,3,roadmap-faq.md,roadmap-faq.md,0.833,1
10,mehrquellen,mensch_korrigiert,"Ich will den Tarif wieder von Pro zu Free wechseln und hab Pro 7 Tage ausprobiert, was passiert mit Restguthaben",e5-base,articles,1,tarif-wechseln.md,tarif-wechseln.md,0.8522,0
10,mehrquellen,mensch_korrigiert,"Ich will den Tarif wieder von Pro zu Free wechseln und hab Pro 7 Tage ausprobiert, was passiert mit Restguthaben",e5-base,articles,2,preise-und-tarife.md,preise-und-tarife.md,0.8499,0
10,mehrquellen,mensch_korrigiert,"Ich will den Tarif wieder von Pro zu Free wechseln und hab Pro 7 Tage ausprobiert, was passiert mit Restguthaben",e5-base,articles,3,pro-funktionen-und-preise.md,pro-funktionen-und-preise.md,0.8454,0
11,einfach,entwurf,Ich kann seit 3 Tagen den Tracker nicht nutzen weil der passwort reset mir keine email schickt.,e5-base,articles,1,passwort-zuruecksetzen.md,passwort-zuruecksetzen.md,0.8591,1
11,einfach,entwurf,Ich kann seit 3 Tagen den Tracker nicht nutzen weil der passwort reset mir keine email schickt.,e5-base,articles,2,verdaechtige-anmeldungen.md,verdaechtige-anmeldungen.md,0.851,0
11,einfach,entwurf,Ich kann seit 3 Tagen den Tracker nicht nutzen weil der passwort reset mir keine email schickt.,e5-base,articles,3,konten-zusammenfuehren.md,konten-zusammenfuehren.md,0.8453,0
12,einfach,entwurf,"Nach dem Google Sign-In lande ich in einem leeren Konto, meine alten Habits sind nicht da. Bin ich versehentlich in einem neuen Account?",e5-base,articles,1,anmelden-mit-google.md,anmelden-mit-google.md,0.8753,1
12,einfach,entwurf,"Nach dem Google Sign-In lande ich in einem leeren Konto, meine alten Habits sind nicht da. Bin ich versehentlich in einem neuen Account?",e5-base,articles,2,passwort-zuruecksetzen.md,passwort-zuruecksetzen.md,0.8746,0
12,einfach,entwurf,"Nach dem Google Sign-In lande ich in einem leeren Konto, meine alten Habits sind nicht da. Bin ich versehentlich in einem neuen Account?",e5-base,articles,3,verdaechtige-anmeldungen.md,verdaechtige-anmeldungen.md,0.8676,0
13,einfach,entwurf,"doppelt abgebucht diesen monat!! 6,99 zweimal. bitte sofort erstatten",e5-base,articles,1,tarif-wechseln.md,tarif-wechseln.md,0.853,0
13,einfach,entwurf,"doppelt abgebucht diesen monat!! 6,99 zweimal. bitte sofort erstatten",e5-base,articles,2,doppelte-abbuchung.md,doppelte-abbuchung.md,0.8526,1
13,einfach,entwurf,"doppelt abgebucht diesen monat!! 6,99 zweimal. bitte sofort erstatten",e5-base,articles,3,bekannte-probleme.md,bekannte-probleme.md,0.834,0
14,einfach,entwurf,"Fremder Login aus Vietnam in meinem Konto, ich hab eine mail von euch bekommen. Was soll ich jetzt tun?? da sind meine ganzen daten drin",e5-base,articles,1,datenschutz-und-speicherort.md,datenschutz-und-speicherort.md,0.8267,0
14,einfach,entwurf,"Fremder Login aus Vietnam in meinem Konto, ich hab eine mail von euch bekommen. Was soll ich jetzt tun?? da sind meine ganzen daten drin",e5-base,articles,2,verdaechtige-anmeldungen.md,verdaechtige-anmeldungen.md,0.8259,1
14,einfach,entwurf,"Fremder Login aus Vietnam in meinem Konto, ich hab eine mail von euch bekommen. Was soll ich jetzt tun?? da sind meine ganzen daten drin",e5-base,articles,3,konto-loeschen.md,konto-loeschen.md,0.8222,0
15,einfach,entwurf,"Frage zur Datenschutzerklärung: wo genau werden die Daten gespeichert, EU oder US?",e5-base,articles,1,datenschutz-und-speicherort.md,datenschutz-und-speicherort.md,0.8542,1
15,einfach,entwurf,"Frage zur Datenschutzerklärung: wo genau werden die Daten gespeichert, EU oder US?",e5-base,articles,2,verdaechtige-anmeldungen.md,verdaechtige-anmeldungen.md,0.8188,0
15,einfach,entwurf,"Frage zur Datenschutzerklärung: wo genau werden die Daten gespeichert, EU oder US?",e5-base,articles,3,konto-loeschen.md,konto-loeschen.md,0.8185,0
16,einfach,entwurf,gibts eigentlich ein widget für android oder nur fürs iphone?,e5-base,articles,1,widgets.md,widgets.md,0.8594,1
16,einfach,entwurf,gibts eigentlich ein widget für android oder nur fürs iphone?,e5-base,articles,2,preise-und-tarife.md,preise-und-tarife.md,0.8219,0
16,einfach,entwurf,gibts eigentlich ein widget für android oder nur fürs iphone?,e5-base,articles,3,roadmap-faq.md,roadmap-faq.md,0.82,0
17,mehrquellen,entwurf,"Ich melde mich mit Google an, hatte früher aber ein Konto mit derselben Mail per Passwort. Jetzt sehe ich zwei unterschiedliche Habit-Listen. Wie führe ich die zusammen?",e5-base,articles,1,konten-zusammenfuehren.md,konten-zusammenfuehren.md,0.8669,1
17,mehrquellen,entwurf,"Ich melde mich mit Google an, hatte früher aber ein Konto mit derselben Mail per Passwort. Jetzt sehe ich zwei unterschiedliche Habit-Listen. Wie führe ich die zusammen?",e5-base,articles,2,habits-anlegen.md,habits-anlegen.md,0.8586,0
17,mehrquellen,entwurf,"Ich melde mich mit Google an, hatte früher aber ein Konto mit derselben Mail per Passwort. Jetzt sehe ich zwei unterschiedliche Habit-Listen. Wie führe ich die zusammen?",e5-base,articles,3,anmelden-mit-google.md,anmelden-mit-google.md,0.8583,1
18,einfach,entwurf,"Hab von monatlich auf jährlich gewechselt und wurde sofort voll belastet, obwohl der laufende Monat schon bezahlt war. Bitte prüfen.",e5-base,articles,1,tarif-wechseln.md,tarif-wechseln.md,0.8684,1
18,einfach,entwurf,"Hab von monatlich auf jährlich gewechselt und wurde sofort voll belastet, obwohl der laufende Monat schon bezahlt war. Bitte prüfen.",e5-base,articles,2,doppelte-abbuchung.md,doppelte-abbuchung.md,0.8575,0
18,einfach,entwurf,"Hab von monatlich auf jährlich gewechselt und wurde sofort voll belastet, obwohl der laufende Monat schon bezahlt war. Bitte prüfen.",e5-base,articles,3,preise-und-tarife.md,preise-und-tarife.md,0.8437,0
19,mehrquellen,entwurf,"bin vor ner woche von monatlich auf jährlich umgestiegen, war doch ne blöde idee. kann ich zurück und krieg mein geld wieder?",e5-base,articles,1,tarif-wechseln.md,tarif-wechseln.md,0.8569,1
19,mehrquellen,entwurf,"bin vor ner woche von monatlich auf jährlich umgestiegen, war doch ne blöde idee. kann ich zurück und krieg mein geld wieder?",e5-base,articles,2,erstattungen.md,erstattungen.md,0.8373,1
19,mehrquellen,entwurf,"bin vor ner woche von monatlich auf jährlich umgestiegen, war doch ne blöde idee. kann ich zurück und krieg mein geld wieder?",e5-base,articles,3,passwort-zuruecksetzen.md,passwort-zuruecksetzen.md,0.83,0
20,aehnlich,entwurf,"Ich habe mein Abo im App Store gekündigt, aber in der App steht immer noch Pro aktiv bis 2027. Was gilt denn jetzt?",e5-base,articles,1,abo-kuendigen.md,abo-kuendigen.md,0.8755,1
20,aehnlich,entwurf,"Ich habe mein Abo im App Store gekündigt, aber in der App steht immer noch Pro aktiv bis 2027. Was gilt denn jetzt?",e5-base,articles,2,tarif-wechseln.md,tarif-wechseln.md,0.8693,0
20,aehnlich,entwurf,"Ich habe mein Abo im App Store gekündigt, aber in der App steht immer noch Pro aktiv bis 2027. Was gilt denn jetzt?",e5-base,articles,3,preise-und-tarife.md,preise-und-tarife.md,0.857,0
21,aehnlich,entwurf,hab ausversehen mein konto gelöscht. kann man das rückgängig machen? war 2 jahre drin,e5-base,articles,1,passwort-zuruecksetzen.md,passwort-zuruecksetzen.md,0.8536,0
21,aehnlich,entwurf,hab ausversehen mein konto gelöscht. kann man das rückgängig machen? war 2 jahre drin,e5-base,articles,2,konten-zusammenfuehren.md,konten-zusammenfuehren.md,0.8432,0
